상호명_지점,상권_코드,전용면적,리뷰수,별점,카페_추정매출
소성,3110492,109.02257690225967,35.0,3.595,63702170.335514665
페브,3111085,122.33466612635034,198.5,4.65,5327667008.705067
초록달,3110544,97.7035444378113,0.0,,299872151.1951928
넬쿠오레델카페커피로스터즈,3130313,145.5123069373491,0.0,4.7,3504914659.7416654
제이엔알,3120104,159.2349545156316,0.0,,954253769.997109
탐앤탐스대한항공서소문점,3120020,1217.6226765544902,14.0,3.725,4116923914.490111
다락,3120020,175.5536857200936,501.0,4.48,7243787874.967338
엔자임헬스,3120002,92.96818445837194,0.0,,981427609.885297
동강에프앤비주,3120023,93.81908951167023,0.0,,2483370933.4509153
퓨리온,3120022,617.9004349349842,0.0,,5036896552.318378
아이닛시주,3120023,105.46479535600123,0.0,,2503503745.9507456
라움에프앤씨(RaumF&CInc)주,3120027,1749.3032174883015,0.0,,3049651005.956616
카페바운스,3110586,1232.8230068341416,0.0,,1610249076.3936467
온더락,3120106,974.7616408416893,0.0,4.19,1471746806.8934329
터사랑,3130184,13317.503585090872,0.0,4.27,942473926.5
재미난조각가,3130190,131.98196637524268,0.0,2.9000000000000004,1740423087.937677
두레차,3130191,112.34562947847084,32.0,3.6,1227332859.3025007
식빵은여기메가커피,3120227,13085.309391073064,0.0,4.38,11037098445.067974
석란커피.엔.티,3120047,1112.8512725073604,0.0,,6093217430.085538
퍼스트펭귄카페,3120103,116.88512450713259,119.0,4.665,2375300556.7211246
경보커파우스/주차장,3130195,21.757542782743077,0.0,4.9,1168369854.0145218
쿠나,3130191,113.30028367585857,1563.0,4.73,13303365545.849722
컵앤컵,3120098,11434.500198726977,12.0,4.665,1836688617.9054415
지모,3120103,513.4332942771521,2.0,2.5,2990006021.3105874
도깨비커피집,3110558,61.577583383579594,97.0,4.6,934958495.3292942
커피그리고,3130183,356.70025957191893,0.0,,1074964570.5652277
플러터커피로스터스,3120041,100.67025856577064,0.0,,471152744.1932583
빈즈메이드,3110554,116.11074585167046,15.0,4.654999999999999,233258348.35054857
비틀주스,3120131,4033.38893022361,4.0,4.775,6957168994.634235
커피브라운,3130191,111.4424981253568,109.0,4.2025,1833495340.196412
콜링,3110580,53.34941771296947,43.0,4.675,293842746.0207018
더블루스,3120105,116.23098650243165,23.0,4.7,680219487.0482708
까페데미타스,3120106,1755.6296292291772,0.0,,1824162290.155299
아람,3110064,232.5488231070496,0.0,4.34,1035349814.7074766
앤드커피점,3120106,2277.225779791993,7.0,4.775,2372309522.205973
카페플레이버,3120098,2834.2985505694633,4.0,4.1850000000000005,864660249.5275687
커피랩,3110566,114.4085661612286,558.0,4.375,1847412761.6487157
