상호명,지점명,시군구명,도로명주소,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
아리스타커피,,영등포구,서울특별시 영등포구 영등포로 109,집합,당산동2가,기타,10126.858106565356,3063.360792112456,115.107956,352617.1992706057
홍스커피홍，sCoffee,,영등포구,서울특별시 영등포구 영등포로 109,집합,당산동2가,기타,10126.858106565356,3063.360792112456,208.033994,637283.1806461579
논탄토,목동점,양천구,서울특별시 양천구 목동동로 257,집합,목동,기타,9867.391734425591,2984.8725677371867,102.97567,307369.2525273572
스타벅스,현대목동,양천구,서울특별시 양천구 목동동로 257,집합,목동,기타,9867.391734425591,2984.8725677371867,139.60393399999998,416699.9529447927
글라스카페,,양천구,서울특별시 양천구 목동동로 257,집합,목동,기타,9867.391734425591,2984.8725677371867,136.463424,407325.9307970884
매트블랙커피,목동점,양천구,서울특별시 양천구 목동동로 257,집합,목동,기타,9867.391734425591,2984.8725677371867,114.744318,342497.1671019123
유럽샌드위치,,영등포구,서울특별시 영등포구 여의나루로 76,집합,여의도동,기타,9810.915391602419,2967.7885509112525,149.785798,444532.57639350556
한증실업주,여의도지점,영등포구,서울특별시 영등포구 여의나루로 76,집합,여의도동,기타,9810.915391602419,2967.7885509112525,225.257212,668515.7747837888
커피퀘스트_서울,,영등포구,서울특별시 영등포구 여의나루로 76,집합,여의도동,기타,9810.915391602419,2967.7885509112525,115.107956,341616.0739355962
카페오아시아사회적협동조합포레카포스코,센터점,강남구,서울특별시 강남구 테헤란로 440,집합,대치동,기타,9618.45912934683,2909.570793558845,208.033994,605289.633009796
학산테라로사커피포스코센터지점,,강남구,서울특별시 강남구 테헤란로 440,집합,대치동,기타,9618.45912934683,2909.570793558845,115.107956,334914.7468838566
더카페440,,강남구,서울특별시 강남구 테헤란로 440,집합,대치동,기타,9618.45912934683,2909.570793558845,145.984128,424751.15515195596
벤티프레소&베이커리포스코,센터점,강남구,서울특별시 강남구 테헤란로 440,집합,대치동,기타,9618.45912934683,2909.570793558845,90.975616,264699.99523962475
카페차이홈플러스,금천점,금천구,서울특별시 금천구 시흥대로 391,집합,독산동,기타,9599.25481948857,2903.76151596847,123.273282,357956.21221872873
앤티앤스홈플러스,금천점,금천구,서울특별시 금천구 시흥대로 391,집합,독산동,기타,9599.25481948857,2903.76151596847,150.645306,437438.0421240941
