geometry
POINT (968837.672938 1949348.686017)
POINT (959241.57461 1957279.846471)
POINT (960349.623785 1951853.929692)
POINT (947805.188841 1953708.51684)
POINT (957456.536639 1943496.100401)
POINT (943080.934612 1945458.589335)
POINT (949916.603948 1944095.926677)
POINT (953976.322448 1946691.249138)
POINT (962652.532791 1958291.713861)
POINT (956816.651266 1952952.328577)
POINT (948980.937058 1956864.096625)
POINT (962605.17836 1951577.525589)
POINT (957997.670747 1947291.836602)
POINT (946484.706464 1951664.515535)
POINT (948872.212797 1941752.625617)
POINT (948829.21252 1942882.573522)
POINT (949907.321364 1943058.232364)
POINT (947092.916346 1940394.637499)
POINT (955484.708941 1954366.014801)
POINT (956918.360262 1944363.758953)
POINT (969008.239235 1943196.463607)
POINT (959025.630452 1952138.67873)
POINT (959936.026862 1947621.797174)
POINT (946633.524986 1951882.58632)
POINT (958672.684333 1945048.343742)
POINT (947693.146269 1957837.864968)
POINT (963846.586482 1950970.362857)
POINT (962089.667506 1962308.809741)
POINT (961261.329376 1954476.185608)
POINT (956915.770004 1956245.319257)
POINT (966769.612821 1949761.314317)
POINT (949341.434761 1943104.999725)
POINT (958941.402545 1944845.948462)
POINT (949247.606705 1944214.583841)
POINT (942462.721466 1945071.859079)
POINT (956512.613952 1951723.111289)
POINT (956688.053332 1944031.102582)
POINT (963357.892103 1952404.498804)
POINT (958845.442918 1952354.474295)
POINT (952263.944676 1951826.284339)
POINT (960480.073573 1964364.718229)
POINT (942751.089205 1949974.981053)
POINT (965970.858579 1944852.914557)
POINT (949149.873744 1954152.332814)
POINT (950363.361388 1942657.219945)
POINT (948313.779424 1946094.425856)
POINT (947454.123025 1944747.928059)
POINT (949373.114422 1956464.713634)
POINT (964757.447334 1947201.969056)
POINT (962616.161316 1959796.189006)
POINT (952368.836804 1944896.974449)
POINT (960790.618639 1952008.531603)
POINT (956324.698381 1942339.574742)
POINT (958092.713699 1947939.81724)
POINT (967231.002843 1948277.004056)
POINT (961014.253269 1964903.492943)
POINT (959029.040123 1961384.220358)
POINT (948689.901166 1943386.298781)
POINT (967328.824187 1945483.136801)
POINT (949123.29095 1943274.343716)
POINT (958863.479244 1956316.298609)
POINT (960471.798164 1947468.103384)
POINT (951348.182555 1955183.238842)
POINT (941789.875076 1947878.883823)
POINT (957854.500573 1957178.340146)
POINT (956391.071604 1955557.851042)
POINT (963005.616302 1952395.261759)
POINT (945691.612044 1944979.148731)
POINT (960833.739418 1944746.623964)
POINT (960710.863001 1964257.959539)
POINT (947047.824074 1942585.642834)
POINT (949281.431955 1958077.109883)
POINT (963091.032545 1960846.098091)
POINT (942086.497235 1945035.251778)
