,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율
97,3130230,가리봉시장,17738.8,18422.0,1.0385144429160935
98,3130229,남구로시장,102243.4,102463.5,1.0021527061893483
99,3130228,구로시장,130455.8,125813.0,0.9644109345847406
100,3130227,고척골목시장상점가(그라운드 고척),10974.2,12160.5,1.108098995826575
101,3130226,고척프라자,4156.8,4702.0,1.1311585835257891
102,3130225,개봉중앙시장,62712.2,71544.5,1.1408386247014137
103,3130224,개봉프라자(고척근린시장),1102.4,1234.5,1.1198294629898402
104,3130223,고척근린시장,32978.4,37192.5,1.1277836402008588
105,3130222,오류시장,42404.8,45121.5,1.0640658604686262
106,3130221,"남부골목시장(남부화곡시장, 남부시장)",76710.4,86140.5,1.1229311801268147
107,3130220,등마루시장,5831.2,6439.0,1.1042324049938264
108,3130219,까치산시장,102055.2,104412.0,1.0230933847564847
109,3130218,신월중앙시장,8905.4,9003.5,1.0110157881734678
110,3130217,화곡본동시장,28929.4,30400.0,1.0508340995665308
111,3130216,화곡중앙시장,34518.2,36653.0,1.0618456350562893
112,3130215,대원종합시장,6921.4,7365.5,1.0641633195596267
113,3130214,송화벽화시장(송화골목시장),10299.8,9677.5,0.939581351094196
114,3130213,방신전통시장,25335.8,26743.0,1.0555419603880676
115,3130212,공항시장,52428.2,53814.5,1.026441876699944
116,3130211,신정2동 골목시장(오목교중앙시장),52136.0,62040.0,1.1899647076875863
117,3130210,목2동시장,58642.4,63581.5,1.0842240426721963
118,3130209,목사랑시장(목4동시장),45581.8,47049.0,1.032188285675423
119,3130208,목동깨비시장(목3동시장),48793.6,50768.0,1.0404643231899267
120,3130207,신정1동 골목시장(신정제일시장),12751.8,14017.5,1.0992565755422765
121,3130206,신정3동 골목시장,6372.8,6085.0,0.954839317097665
122,3130205,신곡종합시장(신월6동 골목시장),5181.2,5583.0,1.0775496024087083
123,3130204,경창시장,26803.8,27688.5,1.0330065140017461
124,3130203,서서울 골목형상점가,11359.4,12543.5,1.1042396605454514
125,3130202,신영시장,18521.0,19772.5,1.0675719453593218
126,3130201,월정로시장,30388.8,33325.0,1.0966211235718424
127,3130200,"신월7동 골목시장(약수시장, 우성상가)",8416.6,9064.0,1.07691942114393
128,3130199,신월3동 골목시장,41042.2,44202.5,1.07700123287738
129,3130198,아현시장,53185.8,49400.5,0.928828747522835
130,3130197,마포시장,15641.8,10828.5,0.6922796609085912
131,3130196,공덕시장,6534.6,4552.0,0.6965996388455299
132,3130195,도화동 상점가,242733.8,236241.0,0.9732513560122241
133,3130194,용강동 상점가,64378.2,61268.0,0.9516886150902014
134,3130193,신수시장,8356.8,8691.5,1.0400512157763737
135,3130192,동진시장,6254.8,7343.0,1.1739783846006266
136,3130191,홍대 걷고싶은 거리,75583.8,86026.0,1.1381539430407044
137,3130190,홍대소상공인상점가,68400.6,89944.5,1.3149665353812685
138,3130189,서교시장,10071.8,13060.0,1.2966897674695685
139,3130188,합정시장,6556.4,6312.5,0.9627997071563663
140,3130187,영진시장,7460.8,5938.0,0.7958932018014154
141,3130186,망원시장,35547.8,42008.0,1.1817327654594658
142,3130185,망원월드컵시장,30652.0,33821.5,1.1034027143416416
143,3130184,마포농수산물시장,1119.4,2371.0,2.118098981597284
144,3130183,상암동상점가,178547.0,147914.5,0.8284345298436826
145,3130182,영천시장,51924.6,46585.0,0.8971662757151716
146,3130181,아현가구거리상점가,352871.6,221273.0,0.6270637818401935
147,3130180,포방터시장,29295.0,33427.5,1.1410650281618024
148,3130179,"이화여대 3,5,7길 상점가",163064.2,150109.5,0.9205546036469071
149,3130178,이대 앞 스타트업 상점가,10000.8,6638.0,0.6637469002479802
150,3130177,인왕시장(홍제골목형상점가),4011.0,4020.0,1.0022438294689604
151,3130176,유진상가,2873.6,2953.5,1.0278048440979957
152,3130175,신촌 상인회(신촌상점가),9461.0,9966.0,1.0533770214565057
153,3130174,연희사러가,5242.2,5480.0,1.0453626340086224
154,3130173,백련시장,10327.6,11278.0,1.0920252527208645
155,3130172,모래내시장(서중시장),26332.8,27854.5,1.0577872463239761
156,3130171,불광먹자골목 골목형상점가,31301.6,33737.0,1.0778043294911444
157,3130170,제일시장,12201.0,12760.5,1.0458568969756576
158,3130169,대조시장,105167.6,108377.5,1.0305217576515961
159,3130168,연서시장,25014.0,26670.5,1.0662229151675062
160,3130167,연신내상점가(연빛거리),155772.6,160639.0,1.03124041070124
161,3130166,응암시장(신응암시장),5600.6,6172.5,1.102114059207942
162,3130165,"대림골목시장(대림시장, 양지시장)",25610.0,28438.0,1.110425614994143
163,3130164,역촌중앙시장,8037.2,8525.5,1.060754989299756
164,3130163,응암오거리상점가,60622.0,65599.0,1.0820989079871994
165,3130162,증산골목시장,11852.4,12710.0,1.0723566535047755
166,3130161,증산종합시장,2554.4,2404.5,0.9413169433134982
167,3130160,수일시장,3311.6,3426.0,1.034545234931755
168,3130159,공릉동 도깨비시장,90094.6,97496.5,1.08215697722172
169,3130158,상계역전종합상가,22953.8,24498.0,1.0672742639562949
170,3130157,상계중앙시장,132385.8,145879.0,1.101923318059792
171,3130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),8564.4,9614.5,1.1226122086777826
172,3130155,시영B상가(중계 그린아파트 B 상가),7569.8,9131.5,1.2063066395413353
173,3130154,상계주공1단지(가)상가,1750.8,1595.0,0.9110121087502856
174,3130153,창동역상점가,27329.8,31367.0,1.147721534734978
175,3130152,오!도봉거리 상점가,14727.4,16146.0,1.0963238589296143
176,3130151,신도봉시장,5996.6,6508.5,1.0853650401894406
177,3130150,창동골목시장,35183.0,37464.5,1.0648466588977632
178,3130149,창동신창시장,99971.0,103967.5,1.0399765932120315
179,3130148,방학동도깨비시장,35926.8,38039.0,1.0587917654786956
180,3130147,쌍문역동측상점가,69130.6,72486.5,1.048544349390863
181,3130146,쌍문시장(쌍문역골목시장),221200.8,215193.0,0.9728400620612584
182,3130145,쌍문역둘리상점가,24493.4,25865.5,1.0560191725117787
183,3130144,백운시장,10053.4,10716.5,1.0659577854258262
184,3130143,방천골목시장,38982.2,40115.5,1.029072243228961
185,3130142,강북북부시장,3058.0,3327.0,1.0879659908436887
186,3130141,강북북부골목시장,31845.0,33358.0,1.0475113832626786
187,3130140,숭인시장,7380.4,7022.0,0.9514389463985692
188,3130139,강북종합전통시장(강북종합골목시장),86199.2,86965.0,1.0088840731700526
189,3130138,수유프라자,3514.2,3492.0,0.9936827727505549
190,3130137,"수유전통시장(수유시장, 수유골목시장)",28064.8,30376.0,1.082352270459793
191,3130136,수유재래시장,16391.6,16792.5,1.0244576490397521
192,3130135,수유중앙골목시장(수유중앙시장),35693.0,38751.0,1.085675062337153
193,3130134,"솔샘시장(미아6,7동골목시장)",11457.8,12736.5,1.1116008308750371
194,3130133,우이골목시장(우이시장),44616.2,51179.0,1.1470945530995469
195,3130132,삼양골목시장(삼양시장),24675.8,25731.0,1.0427625446794024
196,3130131,동북프라자,8701.0,8683.5,0.99798873692679
197,3130130,수유북부골목시장,369.2,416.5,1.1281148429035754
198,3130129,장미원골목시장,40626.6,46328.5,1.1403489339496784
199,3130128,돌곶이시장(석관황금시장),67686.2,69740.5,1.0303503520658568
200,3130127,석관시장,10984.8,11214.5,1.020910712985216
201,3130126,새석관시장,5648.2,5818.5,1.0301511986119471
202,3130125,장위전통시장,54222.2,54993.0,1.014215579596549
203,3130124,번동시장,3632.4,3991.5,1.0988602576808721
204,3130123,꿈의숲 장곡 골목형상점가,17324.0,18583.5,1.0727026090972063
205,3130122,밤나무골시장,7234.0,6788.0,0.9383466961570363
206,3130121,길음시장,6328.4,6402.5,1.0117091207888251
207,3130120,돈암시장(돈암제일시장),92635.0,98824.5,1.0668159982727912
208,3130119,정릉아리랑시장,30118.2,32672.5,1.0848091851438664
209,3130118,정릉골 골목형상점가,28321.8,29002.5,1.024034489333305
210,3130117,정릉시장,59266.6,68439.0,1.1547650784759038
211,3130116,동성타워프라자,3544.8,3721.0,1.049706612502821
