query,found_name,score,reviewCount
이공카페,이공오도씨,4.53,230
카페리바체,,,
가배랑솜인사동카페,가배랑솜 인사동 카페,,843
브라운체리,브라운체리,4.87,132
냇물아흘러흘러,냇물아흘러흘러,,72
포방터카페,포방터카페,4.37,210
디저트아카데미,디저트아카데미,4.67,225
극단예술마루,,,
타피오빈,타피오빈,,12
그라데이션커피,그라데이션커피,4.74,82
겟어웨이,겟어웨이카페,,7
북바이북,바이비상,,0
카페우디,카페 우디,,60
SGH한방차보감,,,
홍카페,홍카페,,93
오거트,오거트 아현점,,6
과일연구소,잠바주스 수원삼성연구소점,4.49,1
낫배드커피,낫배드커피 한남,,239
에크미,카페애크미,4.5,142
하이테이블차병원,하이테이블 차병원사거리점,,"1,327"
벨가우프라,,,
찰스커피컴퍼니,,,
영등포,진주집,4.4,"8,353"
투썸플레이스송파나루역점,투썸플레이스 송파나루역점,,88
영플랜츠&갤러리영,영플랜츠&갤러리영,4.32,20
스탠퍼독,,,
테마,천변풍경,4.46,54
테이큰,테이큰커피 성균관대점,,5
와이낫,와이낫,,22
좋은날,좋은날,,8
래디언트101,,,
메이킹유니언,,,
팔로스,팔로스,,10
우지커피,우지커피 길음롯데캐슬점,,5
주택커피견과로운생활,,,
타오파크,투썸플레이스 경희대점,4.37,52
아리스타커피,아리스타커피 신설역점,4.55,6
유캔두잇,유캔두잇 서울평창동점,,2
마티스커피,마티스커피,4.74,297
마가밀,마가밀,,241
데이롱카페강북,데이롱카페 강북미아점,,2
종로식품사업부더쌍화,,,
박스프레소약수점,,,
홍카페HONGCAFE,홍카페,,4
커프,커프,4.67,35
엉클찰스,엉클찰스 로스터리 카페,,24
프라젠스타카페,본초쌍화,4.36,277
자고로커피,,,
실로암,실로암,4.16,12
스포애니불광역커피마마,커피마마 스포애니불광역점,,4
골목,골목집,,12
구슬스,구슬스 현대백화점 미아점,,0
설빙서울거여역점,설빙 서울거여역점,4.34,25
도카,도카,4.7,144
보사노바수유역점,보사노바커피로스터스 수유역점,,95
구립월계청춘카페,,,
콩밭커피로스터,,,
오잇,,,
레이블보드게임카페,,,
어반커피,어반커피,,258
푸딩카페,유목커피바,4.61,467
공차까치산역점,공차 까치산역점,,19
푸글렌서울,푸글렌 서울,,633
