상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,위도,경도,지번주소,신우편번호
MA010120220807931623,컵오브커피역촌동점,,3110468,응암역 3번,서울특별시 은평구 연서로6길 8,37.6040345993828,126.916446425791,서울특별시 은평구 역촌동 35-1,3406
MA010120220806819197,칠성커피호프,,3110255,상봉역 4번,서울특별시 중랑구 망우로 268,37.595277789228,127.082388799204,서울특별시 중랑구 상봉동 118-5,2136
MA010120220813770820,티엔티에프,,3110146,신자초등학교,서울특별시 광진구 자양강변길 277,37.5299792223881,127.073854436468,서울특별시 광진구 자양동 589-20,5095
MA010120220800446683,아르코,,3120153,노량진역(노량진),서울특별시 동작구 노량진로14길 8,37.5130942485538,126.941952270934,서울특별시 동작구 노량진동 58-1,6922
MA010120220807385056,디저브,,3130191,홍대 걷고싶은 거리,서울특별시 마포구 어울마당로 153-1,37.5568474556918,126.92684337722,서울특별시 마포구 동교동 170-11,4051
MA010120220802514704,메가엠지씨커피강북북부,시장점,3130141,강북북부골목시장,서울특별시 강북구 한천로 981,37.636648679059,127.031564378554,서울특별시 강북구 번동 412-52,1066
MA0106202211A1023932,금금,,3111013,송파나루역 1번(송리단길),서울특별시 송파구 백제고분로41길 38,37.5089972178383,127.106226503446,서울특별시 송파구 송파동 29-6,5623
MA010120220813006725,서울식다방,,3120136,영등포구청역,서울특별시 영등포구 당산로 126,37.525848740969,126.896894581153,서울특별시 영등포구 당산동3가 243,7257
MA010120220813560123,아멜라떼,,3120056,구의역,서울특별시 광진구 아차산로55길 29,37.5386743932045,127.086377177619,서울특별시 광진구 구의동 257-104,5042
MA010120220803248750,하우종로,3가역점,3120009,종로3가역,서울특별시 종로구 종로 129,37.5704298462814,126.992030999824,서울특별시 종로구 종로3가 10-5,3139
MA0101202303A0119079,헷키,,3110502,남가좌파출소,서울특별시 서대문구 가재울로4길 62,37.5761724935367,126.924741509353,서울특별시 서대문구 남가좌동 329-4,3693
MA010120220813456466,퍼플리프,,3120194,언주역(차병원),서울특별시 강남구 논현로 557,37.505787386476,127.034257489939,서울특별시 강남구 역삼동 607-11,6126
MA0101202306A0093456,시진커피sijincoffee,,3110428,상계5동주민센터,서울특별시 노원구 한글비석로44길 77,37.6657147993869,127.071767245821,서울특별시 노원구 상계동 138-135,1658
MA010120220808839715,플럽,,3130167,연신내상점가(연빛거리),서울특별시 은평구 연서로29길 7-11,37.6184163494105,126.919273379093,서울특별시 은평구 갈현동 456-12,3331
MA010120220813846296,백학,,3110370,도봉세무서,서울특별시 강북구 솔샘로 325,37.6173504067286,127.02815820536,서울특별시 강북구 미아동 374-27,1179
MA0106202306A0151413,커피빈압구정로데오,2호점,3120202,압구정로데오역(압구정로데오),서울특별시 강남구 선릉로157길 22,37.5263380759338,127.038181161269,서울특별시 강남구 신사동 663-5,6018
MA010120220805285987,블루픽,,3111032,방이역 1번,서울특별시 송파구 위례성대로 188,37.5097372288166,127.131868284702,서울특별시 송파구 오금동 4,5654
MA010120220805899732,안녕가비,,3110161,중곡역 3번,서울특별시 광진구 능동로53길 41,37.5669867184372,127.082210481525,서울특별시 광진구 중곡동 172-74,4908
MA0101202406A0575196,곤트란쉐리에,대치점,3120220,대치역,서울특별시 강남구 남부순환로 2927,37.4936764262252,127.060350839001,서울특별시 강남구 대치동 622,6280
MA0101202210A0052640,별콩다방대치역점,,3120220,대치역,서울특별시 강남구 남부순환로 2927,37.4936764262252,127.060350839001,서울특별시 강남구 대치동 622,6280
MA010120220800014726,TheMonoCo.,,3110542,마포구청역 7번,서울특별시 마포구 방울내로11길 37,37.5622906778902,126.903442988998,서울특별시 마포구 망원동 471-2,3961
MA010120220805102049,레이크웨이브,,3110291,한성대입구역 3번,서울특별시 성북구 삼선교로14길 20,37.5872872869449,127.010042751326,서울특별시 성북구 삼선동2가 58,2864
MA010120220810302606,모녀다방,,3111013,송파나루역 1번(송리단길),서울특별시 송파구 백제고분로41길 40,37.5091774591515,127.106181517497,서울특별시 송파구 송파동 29,5623
MA0101202305A0066750,커피에반하다,이대역점,3120096,"이화여대(이대역, 이대)",서울특별시 마포구 신촌로 160,37.5563700099509,126.943389990284,서울특별시 마포구 대흥동 12-41,4104
