상호명,지점명,TRDAR_CD,TRDAR_CD_N,지번주소,도로명주소,층정보,경도,위도,지하철_거리(m),지하철_역명,지하철_호선,버스_거리(m),버스정류장명
카페파라곤,,3120114,목동신시가지,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155,,126.875076471087,37.5299993144468,605,오목교,5,143,목1동주민센터
이디야북한산점,,3110337,아카데미하우스,서울특별시 강북구 수유동 535-16,서울특별시 강북구 419로 85,1,127.005608782037,37.644761629287,1886,수유,4,1590,수유중학교혜화여고
디저트39,길동점,3120246,길동역,서울특별시 강동구 길동 411-4,서울특별시 강동구 양재대로 1458,1,127.139608168509,37.5359294709756,236,길동,5,71,서울프라임한방병원
므나커피,,3111031,장지동주민센터(한림연예예술고교),서울특별시 송파구 문정동 91-7,서울특별시 송파구 새말로15길 19,2,127.129124073487,37.4859176655849,587,문정,8,305,문정중학교후문
매일그릭,,3110067,배문고등학교,서울특별시 용산구 청파동1가 75-2,서울특별시 용산구 청파로47나길 75,1,126.968235338207,37.5481441855237,469,숙대입구,4,185,청파동
일정,,3110128,성원중학교,서울특별시 성동구 성수동1가 225-2,서울특별시 성동구 성덕정길 44,1,127.048506439183,37.5385068112324,948,성수,2,1048,영동대교북단(경유)
카페노랑,,3110187,제기동역 6번,서울특별시 동대문구 용두동 102-190,서울특별시 동대문구 무학로34가길 3,1,127.033871059627,37.5766331107724,188,제기동,1,221,제기동역.서울약령시장(중)
카페리홀릭,,3110840,중앙대학교,서울특별시 동작구 흑석동 189-7,서울특별시 동작구 흑석로13가길 33,1,126.959996042967,37.5077948214049,1200,상도,7,120,중앙대학교
신사동커피집,,3110864,신림우방아파트,서울특별시 관악구 신림동 480-15,서울특별시 관악구 조원로 157,1,126.91960827693,37.4860149354096,583,신대방,2,371,남부초등학교
태평커피,,3120090,연신내역,서울특별시 은평구 불광동 323-10,서울특별시 은평구 통일로78길 11-11,1,126.923384928683,37.6185181991392,226,연신내,3,109,연서시장
읍천리382송파역점,,3120230,송파사거리(송파역),서울특별시 송파구 송파동 97-39,서울특별시 송파구 송파대로 366,1,127.111699674483,37.5007209437701,111,송파,8,44,송파역(중)
이초콜릿커피,,3120198,구역삼세무서,서울특별시 강남구 역삼동 789-21,서울특별시 강남구 논현로71길 34,1,127.036649625413,37.4944339921533,692,역삼,2,259,구역삼세무서교차로(경유)
스케일즈커피,,3120164,내방역,서울특별시 서초구 방배동 877-13,서울특별시 서초구 서초대로 117,,126.995081362666,37.4883938146704,160,내방,7,65,내방역1번출구
컴포즈커피만리,시장점,3110590,만리재,서울특별시 용산구 서계동 267-48,서울특별시 용산구 효창원로 265-4,1,126.963594356319,37.5508728713311,676,애오개,5,538,서계동
맥컬리커피,,3120031,을지로3가역,서울특별시 중구 을지로3가 296-26,서울특별시 중구 충무로5길 6-1,2,126.992337164445,37.5652040911965,124,을지로3가,3,142,을지로3가
팔짱,,3110545,마포구청역 1번,서울특별시 마포구 성산동 592-2,서울특별시 마포구 월드컵로34길 6,1,126.9030552345,37.5645518603248,116,마포구청,6,77,마포구청.성산자동차검사소
엘빈,,3120197,역삼역,서울특별시 강남구 역삼동 736-40,서울특별시 강남구 테헤란로22길 9,1,127.03527234842,37.4993539071871,177,역삼,2,124,역삼역4번출구
이디야커피길동역점,,3120246,길동역,서울특별시 강동구 길동 389-2,서울특별시 강동구 양재대로 1471,1,127.139260087634,37.537362471686,103,길동,5,62,길동역3번출구
메가엠지씨커피양재삼호물산점,,3120184,포이사거리(삼호물산),서울특별시 서초구 양재동 274-4,서울특별시 서초구 마방로10길 34-2,1,127.044169994815,37.4760238199225,1248,양재,3,133,동원산업
나하무,,3120002,서촌(경복궁역),서울특별시 종로구 체부동 29-2,서울특별시 종로구 자하문로7길 3,,126.971381088123,37.5781571811898,322,경복궁,3,228,경복궁역1번출구
