"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20203","A","골목상권","3110967","역삼역 8번","669920","349955","319965","41967","145934","196643","129929","78666","76780","132853","146010","106718","101874","111748","70717","100174","105286","103536","106836","102947","77800","73342"
"20203","A","골목상권","3110966","논현2동주민센터","1589192","759071","830121","125348","325057","410425","313560","183075","231727","265915","319057","266939","268076","306879","162326","238722","251155","246400","252478","250397","187962","162079"
"20203","A","골목상권","3110965","언주역 6번","886024","442184","443839","48293","191481","270010","172508","98477","105256","178754","192695","136667","134715","149387","93805","131724","136601","134046","137398","134732","109123","102402"
"20203","A","골목상권","3110964","싸리고개근린공원","300472","141642","158829","67681","35282","40760","52212","40799","63738","90163","62831","31872","31215","42674","41719","43783","43373","43200","43534","42962","41264","42356"
"20203","A","골목상권","3110963","역삼월드메르디앙아파트","422082","199981","222101","65680","73966","88954","78704","49595","65185","124321","92235","49301","46362","57925","51937","62714","61992","61663","62176","61623","55458","56454"
"20203","A","골목상권","3110962","도산공원북측","97256","44249","53008","7918","23383","25466","16694","10208","13586","14274","16097","17165","18097","21108","10514","13462","14754","14484","14738","15580","13617","10620"
"20203","A","골목상권","3110961","언주역 3번","713582","356874","356708","83986","135219","166532","140510","84522","102814","130480","145229","115834","118863","129957","73220","107274","110527","110204","110605","108681","87121","79171"
"20203","A","골목상권","3110960","은광여고","103662","48334","55328","15262","16037","22183","19149","12352","18680","26778","22848","14001","13441","15438","11155","15373","15348","15125","15493","15150","13573","13599"
"20203","A","골목상권","3110959","신구중학교","123055","56893","66162","18690","20261","24830","22986","14836","21452","18895","23791","21737","22485","24690","11456","18414","19336","18693","18997","19281","15461","12873"
"20203","A","골목상권","3110958","역삼역 4번","654099","349885","304213","36588","168995","180878","119556","73740","74342","100519","137261","121097","122163","117366","55694","102791","109009","105093","107009","105259","68388","56552"
"20203","A","골목상권","3110957","언북중학교","821915","416113","405803","45884","176476","236304","165964","83916","113371","154807","172154","139746","139683","138200","77325","126370","131695","128727","132958","129731","90022","82411"
"20203","A","골목상권","3110956","언주역 8번","385016","199443","185573","25232","102189","106891","61942","36487","52275","87580","82864","56095","56907","61757","39812","57012","58403","57342","58373","57777","49007","47103"
"20203","A","골목상권","3110955","논현초등학교","2799740","1308808","1490932","173855","674526","785814","488191","276660","400694","717015","612861","350910","343392","439627","335936","409613","408462","406087","408449","406602","381741","378786"
"20203","A","골목상권","3110954","국기원","470727","217600","253127","42382","193922","108278","60909","33425","31813","49813","66171","76554","91936","133088","53166","64708","69088","67177","68076","74848","72393","54439"
"20203","A","골목상권","3110953","학동근린공원","431501","210892","220609","24589","99209","124228","83064","44362","56049","71232","90608","75523","78001","76647","39491","67074","69732","67750","69704","67930","47184","42128"
"20203","A","골목상권","3110952","논현목련공원","276374","128026","148347","20339","67367","70541","48590","28083","41453","78123","59390","32410","31549","40803","34097","39480","39826","39877","40121","39629","38573","38869"
"20203","A","골목상권","3110951","신사은행나무공원","640351","300152","340199","52141","149603","164532","121336","66935","85806","149420","122532","87118","91155","113691","76436","93101","96882","95161","97015","97705","84843","75645"
"20203","A","골목상권","3110950","논현역 7번","222231","107904","114329","14386","45436","57345","45170","26647","33248","35079","46588","39450","41465","39750","19900","34702","36188","35211","35708","35212","24317","20893"
"20203","A","골목상권","3110949","한남IC","360615","165820","194794","41967","79326","82679","65839","42235","48570","67121","67071","55515","60154","71895","38860","52215","54210","53466","54657","55452","48367","42250"
"20203","A","골목상권","3110948","헌인가구단지","1203","775","428","275","194","131","203","174","226","252","297","173","194","222","65","180","183","183","188","180","146","143"
